"player_name","ppg"
"Kevin Durant","27.20"
"LeBron James","27.10"
"Allen Iverson","26.70"
"Luka Dončić","26.40"
"Joel Embiid","26.00"
"Zion Williamson","25.70"
"Trae Young","25.30"
"Kobe Bryant","25.00"
"James Harden","24.90"
"Damian Lillard","24.60"
"Stephen Curry","24.30"
"Donovan Mitchell","23.90"
"Anthony Davis","23.80"
"Shaquille O'Neal","23.70"
"Devin Booker","23.50"
"Karl-Anthony Towns","23.20"
"Kyrie Irving","23.10"
"Russell Westbrook","22.80"
"Carmelo Anthony","22.50"
"Bradley Beal","22.10"
"Dwyane Wade","22.00"
"Giannis Antetokounmpo","21.80"
"Ja Morant","21.20"
"Jayson Tatum","20.90"
"DeMar DeRozan","20.80"
"Chris Webber","20.70"
"Glenn Robinson","20.70"
"Dirk Nowitzki","20.70"
"Gilbert Arenas","20.70"
"Paul George","20.40"
