"college_name","ppg"
"Davidson","24.30"
"Lehigh","19.20"
"Butler County Community College","15.10"
"University of Hartford","15.00"
"Trinity Valley CC","14.60"
"Santa Clara","14.30"
"Miami University","14.10"
"Weber State","13.15"
"Ball State University","12.10"
"Southern Miss","11.50"
"Central Michigan University","11.20"
"Wake Forest","11.11"
"Rhode Island","11.10"
"Butler","11.10"
"East Carolina University","10.80"
"IUPUI","10.70"
"New Mexico State","10.25"
"Kentucky","9.94"
"Shaw","9.90"
"Virginia Union University","9.90"
"Western Carolina University","9.75"
"Saint Mary's","9.20"
"Murray State","9.00"
"Saint Francis University","9.00"
"Georgetown","8.97"
"Rider University","8.90"
"Michigan","8.87"
"Duke","8.78"
"Villanova","8.71"
"Bowling Green","8.60"
"Cal State Fullerton","8.60"
"USC","8.58"
"University of the Pacific","8.30"
"Little Rock","8.30"
"Alabama","8.26"
"Utah","8.07"
"TCU","8.05"
"Washington","7.99"
"Ohio State","7.96"
"Memphis","7.87"
"UNC","7.80"
"San Jose State","7.80"
"UConn","7.78"
"Marshall","7.60"
"Georgia Tech","7.54"
"California","7.44"
"Arkansas","7.43"
"Tennessee State","7.40"
"UNLV","7.37"
"Oklahoma State","7.36"
"UCLA","7.36"
"Arizona","7.30"
"Missouri-Kansas City","7.30"
"LSU","7.23"
"Washington State","7.16"
"Detroit Mercy","7.15"
"Texas A&M","7.12"
"Oregon State","7.08"
"Florida","7.08"
"Kansas","7.06"
"Texas","7.01"
"Saint Louis","7.00"
"Cleveland State University","7.00"
"Virginia","6.90"
"Marquette","6.87"
"La Salle","6.80"
"Clemson","6.78"
"Jackson State University","6.75"
"Saint Joseph's","6.73"
"Wisconsin","6.70"
"Southern Illinois","6.70"
"Xavier","6.68"
"Wichita State","6.65"
"Old Dominion","6.65"
"Indiana","6.53"
"Wright State University","6.50"
"Kansas State","6.48"
"Gonzaga","6.45"
"Texas-El Paso","6.42"
"Arizona State","6.35"
"Michigan State","6.34"
"Louisville","6.33"
"Eastern Washington","6.30"
"Illinois","6.28"
"Nevada","6.25"
"Bucknell","6.20"
"Drexel","6.20"
"Temple","6.18"
"Wyoming","6.17"
"Oregon","6.17"
"Florida State","6.16"
"Syracuse","6.11"
"Tennessee","6.09"
"New Mexico","6.05"
"Iowa State","6.04"
"NC State","6.04"
"Oklahoma","6.03"
"St. Bonaventure","6.00"
"Louisiana Tech","5.98"
"DePaul","5.97"
"Hofstra","5.93"
"Maryland","5.88"
"Fresno State","5.87"
"Missouri","5.85"
"Notre Dame","5.83"
"Boston College","5.82"
"Colorado","5.78"
"Seton Hall","5.70"
"San Diego State","5.68"
"Stanford","5.65"
"Auburn","5.65"
"Bradley","5.60"
"Augsburg College","5.60"
"Jacksonville University","5.55"
"Cincinnati","5.54"
"Pepperdine","5.50"
"Southern University and A&M College","5.50"
"Loyola Marymount","5.50"
"South Dakota State","5.50"
"None/International","5.43"
"Norfolk State","5.40"
"Duquesne","5.40"
"Central Florida","5.40"
"Pitt","5.36"
"Georgia","5.33"
"Louisiana","5.30"
"Minnesota","5.29"
"Purdue","5.25"
"SMU","5.25"
"VCU","5.20"
"Creighton","5.19"
"University of West Florida","5.10"
"Nebraska","5.03"
"St. John's","5.00"
"BYU","4.98"
"Vanderbilt","4.95"
"Baylor","4.95"
"Texas State University","4.90"
"Cal State Long Beach","4.88"
"Elizabeth City State University","4.80"
"Chattanooga","4.70"
"University of Tennessee at Martin","4.70"
"Dayton","4.63"
"Christopher Newport University","4.60"
"Providence","4.57"
"Austin Peay State University","4.55"
"Western Kentucky","4.52"
"Florida A&M","4.30"
"University of Evansville","4.30"
"Valparaiso","4.25"
"Iona College","4.20"
"Colgate","4.10"
"Northeast Mississippi Community College","4.10"
"Texas Tech","4.08"
"Virginia Tech","4.04"
"Houston","4.02"
"Ohio University","3.83"
"John A. Logan College","3.80"
"Morehead State University","3.80"
"Northwestern Oklahoma State University","3.80"
"College of Charleston","3.65"
"UMass","3.62"
"Seward County Community College","3.60"
"Okaloosa-Walton Community College","3.60"
"Ole Miss","3.60"
"UNC Wilmington","3.50"
"Miami (FL)","3.48"
"Iowa","3.46"
"Central State University","3.40"
"Oral Roberts","3.33"
"Belmont","3.30"
"Utah State University","3.20"
"UC Santa Barbara","3.20"
"University of Illinois at Chicago","3.20"
"Rice University","3.10"
"South Florida","3.05"
"Loyola (MD)","3.05"
"Louisiana-Monroe","3.00"
"South Carolina","3.00"
"Georgia State University","3.00"
"Northern Arizona University","3.00"
"Penn","2.90"
"Trenton State University","2.80"
"Phillips University","2.80"
"Northwestern","2.80"
"Colorado State","2.78"
"Mississippi State","2.77"
"Cal State-Bakersfield","2.70"
"Southeastern Illinois College","2.70"
"Central Connecticut State University","2.70"
"Tulane","2.60"
"Missouri State","2.50"
"West Virginia","2.40"
"Slippery Rock University of Pennsylvania","2.30"
"Manhattan College","2.20"
"Dartmouth College","2.10"
"Walsh University","2.10"
"UNC Charlotte","2.08"
"New Orleans","2.05"
"Georgia Southern University","2.00"
"Oakland","1.90"
"Boise State","1.80"
"Yale","1.80"
"Barton County Community College","1.70"
"UT Arlington","1.70"
"Penn State","1.65"
"Green Bay","1.63"
"Rutgers University","1.57"
"Eastern Michigan","1.55"
"Tulsa","1.50"
"Idaho","1.20"
"Mississippi Valley State University","1.07"
"George Washington","1.05"
"Richmond","1.00"
"University of North Texas","1.00"
"University of North Dakota","1.00"
"Tennessee Technological University","0.90"
"UAB","0.33"
"Indian Hills Community College","0.33"
"Toledo","0.20"
